product_id,product_name,product_category,unit_price,inventory_stock
PRD-0001,Bluetooth Speaker,Electronics,1501.64,199
PRD-0002,Digital Alarm Clock,Electronics,299.0,239
PRD-0003,Electric Fan (Desk),Electronics,816.49,144
PRD-0004,Extension Cord,Electronics,332.27,236
PRD-0005,Led Desk Lamp,Electronics,558.29,315
PRD-0006,Phone Case,Electronics,191.32,221
PRD-0007,Power Bank 10000Mah,Electronics,885.96,482
PRD-0008,Screen Protector,Electronics,100.19,247
PRD-0009,Usb Charging Cable,Electronics,145.2,313
PRD-0010,Wireless Earbuds,Electronics,1256.48,239
PRD-0011,Biscuit Pack,Food & Snacks,25.21,303
PRD-0012,Bread Loaf,Food & Snacks,63.52,253
PRD-0013,Chocolate Bar,Food & Snacks,28.89,109
PRD-0014,Energy Drink 250Ml,Food & Snacks,45.67,31
PRD-0015,Ice Cream Cup,Food & Snacks,33.33,67
PRD-0016,Juice Drink 250Ml,Food & Snacks,18.35,283
PRD-0017,Lollipop Candy,Food & Snacks,4.84,281
PRD-0018,Peanuts 100G,Food & Snacks,29.13,172
PRD-0019,Potato Chips 60G,Food & Snacks,33.87,171
PRD-0020,Softdrink 1.5L,Food & Snacks,64.51,144
PRD-0021,Bottled Water 1.5L,Grocery,24.81,156
PRD-0022,Canned Sardines,Grocery,28.31,156
PRD-0023,Coffee Sachet (10S),Grocery,66.03,134
PRD-0024,Cooking Oil 1L,Grocery,91.42,301
PRD-0025,Evaporated Milk,Grocery,41.96,189
PRD-0026,Instant Noodles (Pack),Grocery,14.6,311
PRD-0027,Soy Sauce 350Ml,Grocery,36.66,255
PRD-0028,Sugar 1Kg,Grocery,78.52,408
PRD-0029,Vinegar 350Ml,Grocery,30.94,113
PRD-0030,White Rice 2Kg,Grocery,121.69,255
PRD-0031,Air Freshener Spray,Household Supplies,128.14,207
PRD-0032,Broom (Walis Tingting),Household Supplies,63.38,101
PRD-0033,Candle (6S),Household Supplies,44.1,115
PRD-0034,Dishwashing Liquid 500Ml,Household Supplies,77.22,161
PRD-0035,Fabric Conditioner 500Ml,Household Supplies,94.87,262
PRD-0036,Floor Mop,Household Supplies,240.88,387
PRD-0037,Laundry Detergent 500G,Household Supplies,85.43,458
PRD-0038,Mosquito Coil (10S),Household Supplies,53.32,224
PRD-0039,Sponge Scrub (2S),Household Supplies,34.28,141
PRD-0040,Trash Bag (10S),Household Supplies,53.46,89
PRD-0041,Alcohol 70% 500Ml,Personal Care,91.99,431
PRD-0042,Bath Soap,Personal Care,44.42,42
PRD-0043,Cotton Balls,Personal Care,33.26,27
PRD-0044,Deodorant Roll-On,Personal Care,88.71,312
PRD-0045,Facial Wash 50Ml,Personal Care,124.33,185
PRD-0046,Lotion 200Ml,Personal Care,147.9,409
PRD-0047,Sanitary Napkin (8S),Personal Care,79.42,333
PRD-0048,Shampoo Sachet,Personal Care,7.78,213
PRD-0049,Toothbrush,Personal Care,53.53,307
PRD-0050,Toothpaste 75G,Personal Care,66.03,371
PRD-0051,Ballpen (Black),School & Office Supplies,11.91,304
PRD-0052,"Bond Paper (Short, 10S)",School & Office Supplies,31.29,51
PRD-0053,Eraser,School & Office Supplies,15.28,65
PRD-0054,Folder (Long),School & Office Supplies,18.87,51
PRD-0055,Highlighter,School & Office Supplies,43.21,218
PRD-0056,Notebook 80 Leaves,School & Office Supplies,56.09,71
PRD-0057,Pencil,School & Office Supplies,10.15,151
PRD-0058,Scotch Tape,School & Office Supplies,26.15,99
PRD-0059,Staple Wire,School & Office Supplies,33.68,422
PRD-0060,Stapler,School & Office Supplies,198.41,284
PRD-0061,Bluetooth Speaker,Electronics,1501.64,199
PRD-0062,Earphone,,100.0,0
PRD-0063,Earphone,,100.0,0
PRD-0064,Earphone,,100.0,0
PRD-0065,Earphone,,100.0,0
