transaction_id,product_name,product_category,quantity_sold,unit_price,date_of_transaction,total_amount,inventory_stock
TXN-06350,Energy Drink 250Ml,Food & Snacks,9,45.21,2022-01-01,406.89,260
TXN-05146,Candle (6S),Household Supplies,1,45.64,2022-01-01,45.64,349
TXN-01552,Bottled Water 1.5L,Grocery,4,24.37,2022-01-01,97.48,83
TXN-01387,Cotton Balls,Personal Care,2,34.25,2022-01-01,68.5,171
TXN-02616,Shampoo Sachet,Personal Care,1,8.12,2022-01-01,8.12,85
TXN-01686,Ballpen (Black),School & Office Supplies,5,11.73,2022-01-02,58.65,431
TXN-03874,White Rice 2Kg,Grocery,4,122.71,2022-01-02,490.84,429
TXN-04014,Alcohol 70% 500Ml,Personal Care,1,91.97,2022-01-02,91.97,303
TXN-05221,Extension Cord,Electronics,2,335.3,2022-01-02,670.6,114
TXN-05180,Pencil,School & Office Supplies,1,9.72,2022-01-02,9.72,148
TXN-05137,Cooking Oil 1L,Grocery,2,89.49,2022-01-03,178.98,62
TXN-01294,Screen Protector,Electronics,1,102.21,2022-01-03,102.21,262
TXN-01533,Sanitary Napkin (8S),Personal Care,1,75.21,2022-01-03,75.21,387
TXN-01539,Instant Noodles (Pack),Grocery,2,15.28,2022-01-03,30.56,58
TXN-04503,Chocolate Bar,Food & Snacks,2,29.1,2022-01-03,58.2,267
TXN-01092,Notebook 80 Leaves,School & Office Supplies,2,57.2,2022-01-03,114.4,457
TXN-01173,Floor Mop,Household Supplies,2,258.53,2022-01-03,517.06,258
TXN-05592,White Rice 2Kg,Grocery,8,116.42,2022-01-04,931.36,148
TXN-03058,Power Bank 10000Mah,Electronics,1,935.02,2022-01-04,935.02,205
TXN-01458,Screen Protector,Electronics,1,100.72,2022-01-04,100.72,258
TXN-01754,Extension Cord,Electronics,1,360.48,2022-01-04,360.48,158
TXN-05651,Power Bank 10000Mah,Electronics,1,869.89,2022-01-04,869.89,161
TXN-06316,Evaporated Milk,Grocery,4,40.9,2022-01-04,163.6,329
TXN-04468,Juice Drink 250Ml,Food & Snacks,7,17.56,2022-01-04,122.92,154
TXN-03985,Juice Drink 250Ml,Food & Snacks,6,18.69,2022-01-04,112.14,249
TXN-04459,Folder (Long),School & Office Supplies,5,17.12,2022-01-05,85.6,167
TXN-01617,Biscuit Pack,Food & Snacks,8,26.2,2022-01-05,209.6,60
TXN-05944,Peanuts 100G,Food & Snacks,4,26.82,2022-01-06,107.28,67
TXN-05250,Instant Noodles (Pack),Grocery,6,14.28,2022-01-06,85.68,365
TXN-05246,Energy Drink 250Ml,Food & Snacks,9,45.28,2022-01-06,407.52,35
TXN-02562,Vinegar 350Ml,Grocery,7,30.83,2022-01-06,215.81,203
TXN-01532,Softdrink 1.5L,Food & Snacks,10,63.71,2022-01-06,637.1,253
TXN-05461,Extension Cord,Electronics,1,356.4,2022-01-07,356.4,108
TXN-03806,Evaporated Milk,Grocery,3,42.74,2022-01-07,128.22,91
TXN-02094,Mosquito Coil (10S),Household Supplies,2,57.04,2022-01-07,114.08,474
TXN-01695,Instant Noodles (Pack),Grocery,1,15.45,2022-01-07,15.45,30
TXN-03920,White Rice 2Kg,Grocery,5,116.41,2022-01-08,582.05,422
TXN-04581,Potato Chips 60G,Food & Snacks,8,35.31,2022-01-08,282.48,403
TXN-02457,Energy Drink 250Ml,Food & Snacks,8,45.66,2022-01-08,365.28,43
TXN-04612,Cotton Balls,Personal Care,4,36.04,2022-01-08,144.16,53
TXN-02942,Sugar 1Kg,Grocery,5,75.51,2022-01-08,377.55,369
TXN-04336,White Rice 2Kg,Grocery,1,124.98,2022-01-09,124.98,356
TXN-05002,Sanitary Napkin (8S),Personal Care,3,76.41,2022-01-09,229.23,242
TXN-03786,Lotion 200Ml,Personal Care,1,153.42,2022-01-09,153.42,84
TXN-04711,Phone Case,Electronics,1,202.59,2022-01-09,202.59,323
TXN-04433,Sugar 1Kg,Grocery,4,76.2,2022-01-10,304.8,30
TXN-02210,Facial Wash 50Ml,Personal Care,3,118.28,2022-01-10,354.84,405
TXN-05327,Sanitary Napkin (8S),Personal Care,1,78.07,2022-01-10,78.07,227
TXN-02530,Vinegar 350Ml,Grocery,7,31.01,2022-01-10,217.07,210
TXN-01571,Notebook 80 Leaves,School & Office Supplies,2,53.94,2022-01-10,107.88,438
TXN-06253,Bottled Water 1.5L,Grocery,5,25.12,2022-01-10,125.6,15
TXN-05118,Digital Alarm Clock,Electronics,1,289.57,2022-01-10,289.57,357
TXN-01967,Vinegar 350Ml,Grocery,4,29.16,2022-01-10,116.64,316
TXN-05254,Vinegar 350Ml,Grocery,1,30.34,2022-01-10,30.34,160
TXN-03147,Bottled Water 1.5L,Grocery,6,24.96,2022-01-11,149.76,121
TXN-02813,Mosquito Coil (10S),Household Supplies,1,55.03,2022-01-11,55.03,456
TXN-04351,Chocolate Bar,Food & Snacks,4,31.32,2022-01-11,125.28,291
TXN-02128,Bottled Water 1.5L,Grocery,3,24.47,2022-01-11,73.41,208
TXN-05834,Sugar 1Kg,Grocery,7,73.92,2022-01-11,517.44,227
TXN-03849,Energy Drink 250Ml,Food & Snacks,3,46.88,2022-01-11,140.64,226
TXN-06301,Sugar 1Kg,Grocery,5,72.62,2022-01-11,363.1,110
TXN-06173,White Rice 2Kg,Grocery,8,120.64,2022-01-11,965.12,42
TXN-04587,Sanitary Napkin (8S),Personal Care,2,76.44,2022-01-12,152.88,265
TXN-05232,Bread Loaf,Food & Snacks,5,67.16,2022-01-12,335.8,50
TXN-02415,Laundry Detergent 500G,Household Supplies,3,88.09,2022-01-12,264.27,164
TXN-04370,Floor Mop,Household Supplies,1,241.59,2022-01-12,241.59,199
TXN-03958,Trash Bag (10S),Household Supplies,2,54.8,2022-01-12,109.6,308
TXN-06106,Laundry Detergent 500G,Household Supplies,2,83.6,2022-01-13,167.2,81
TXN-02496,Evaporated Milk,Grocery,5,41.72,2022-01-13,208.6,56
TXN-01043,Mosquito Coil (10S),Household Supplies,1,55.61,2022-01-13,55.61,489
TXN-02209,Power Bank 10000Mah,Electronics,1,873.57,2022-01-13,873.57,220
TXN-02201,Facial Wash 50Ml,Personal Care,1,120.44,2022-01-14,120.44,408
